CUSTOMER_CODE|CUSTOMER_CODE_DESC|BILL_NUMBER|BILL_DATE|PMH_CATEGORY|PMH_CATEGORY_DESC|MONTH|USL_OUTLET_CODE|USL_OUTLET_CODE_DESC|CCF_REASON|CCF_DESC|SALESMAN_CODE|SALESMAN_CODE_DESC|SECONDARY_CHANNEL_CODE|SECONDARY_CHANNEL_CODE_DESC|CBU_CODE|CBU_CODE_DESC|BOM_HEADER_CBU_CODE|BOM_HEADER_CBU_CODE_DESC|SKU7_CODE|SKU7_CODE_DESC|BOM_HEADER_SKU7_CODE|BOM_HEADER_SKU7_CODE_DESC|SALES_DELIVERY_DATE|TOTAL_SALES_VALUE_LKR|TOTAL_SALES_VALUE_GSV|TOTAL_SALES_QTY_CASES|TOTAL_SALES_QTY_KGS|CHANNEL_CODE|CHANNEL_CODE_DESC|BASEPACK_CODE
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94009350|Vaseline Advanced Repair 200ml|||||||2024-06-30|0|826480.41|27|137|||43160
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010390|Vaseline Ice Cool Gel Creme*200ml|||||||2024-06-30|0|0.0|0|0|||43515
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94009347|Vaseline Aloe Fresh 200ml|||||||2024-06-30|0|899306.7377|66|314|||41176
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94009452|VASELINE HEALTHY BRIGHT 200ml|||||||2024-06-30|0|1471692.075|66|318|||43209
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1119|Home & Hygiene|20246|||||||||94011179|Vim Liquid Refill x 450ml|||||||2024-06-30|0|2460433.305|652|6074|||43518
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CF1812|Functional Nutrition|20246|||||||||94011568|Viva Original BIB x175g|||||||2024-06-30|0|632045.4832|123|517|||43472
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2341|Fabric Cleaning|20246|||||||||94012121|SLDP Lemon&Rose RLx 1.65kg|||||||2024-06-30|0|1670247.895|471|6996|||43719
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94011892|Lux Bright Glow 70g New|||||||2024-06-30|0|74.29510757|0|0|||43642
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94010888|DOVE HFR SHMP 340ML|||||||2024-06-30|0|471633.75|19|119|||42676
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94011173|Lux Soft Glow 70g NF|||||||2024-06-30|0|244950.3839|18|231|||43656
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94011605|SSK Soft & Smooth Pouchx100ml|||||||2024-06-30|0|790166.4|86|320|||43582
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94011610|Sunsilk Soft & Smooth Shampoo 1L|||||||2024-06-30|0|0.0|0|0|||42773
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94011153|Pears pure and Gentle 210g MP|||||||2024-06-30|0|24823.72225|2|23|||43668
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94010866|Dove IRP Pouch x 100ml|||||||2024-06-30|0|274752.0|24|89|||43624
